pair,sector,direction,entry_z,exit_z,bars_held,exit_reason,pnl,exit_time,week
BAX/LNTH,Health Care,SHORT,2.1668084786690938,0.4597121192177609,9,PROFIT_EXIT,58.05000000000011,2025-12-15 15:45:00-05:00,51
FOX/FOXA,Communication Services,SHORT,4.487719210665134,3.671868646703072,1,HARD_STOP,0.7110000000000269,2025-12-15 16:00:00-05:00,51
AGCO/TKR,Industrials,LONG,-2.241116876896173,0.034491021809029875,13,PROFIT_EXIT,29.800599999999605,2025-12-15 16:00:00-05:00,51
AM/EQT,Energy,LONG,-2.228424149621205,0.2788191198596872,5,PROFIT_EXIT,38.58919999999948,2025-12-16 09:30:00-05:00,51
AWK/CNP,Utilities,SHORT,2.0080091144221734,0.29691311386307273,17,PROFIT_EXIT,-14.47999999999854,2025-12-16 09:30:00-05:00,51
CMS/PPL,Utilities,SHORT,2.2745184981620805,5.905800396076283,2,HARD_STOP,-33.700000000000614,2025-12-16 09:30:00-05:00,51
AVT/LSCC,Information Technology,SHORT,3.0079521279412194,3.381992454533749,1,HARD_STOP,-6.264999999999603,2025-12-16 09:35:00-05:00,51
KEY/USB,Financials,LONG,-2.0028254567048496,0.4649300518896346,20,PROFIT_EXIT,14.549999999999823,2025-12-16 09:35:00-05:00,51
DTM/TRGP,Energy,SHORT,2.3474408848181074,-0.13396005881700046,14,PROFIT_EXIT,-2.434999999999661,2025-12-16 09:35:00-05:00,51
DTM/RRC,Energy,SHORT,2.5194436539397675,0.14560065710521192,14,PROFIT_EXIT,-21.864999999999867,2025-12-16 09:35:00-05:00,51
FE/LNT,Utilities,LONG,-2.073625856369959,-0.10927898395823109,2,PROFIT_EXIT,14.299999999999727,2025-12-16 09:40:00-05:00,51
EVR/SF,Financials,SHORT,2.4515315714485593,-0.24116123340586693,2,PROFIT_EXIT,39.665000000000205,2025-12-16 09:45:00-05:00,51
APPF/DBX,Information Technology,LONG,-2.036672286651628,-3.6888905999679813,2,HARD_STOP,-54.99260000000053,2025-12-16 09:45:00-05:00,51
MLM/VMC,Materials,SHORT,2.0081030558382627,0.15637550131475192,7,PROFIT_EXIT,20.110000000000582,2025-12-16 09:50:00-05:00,51
EME/PCAR,Industrials,LONG,-2.2389571453785173,-0.03735733186515908,19,PROFIT_EXIT,14.031000000000233,2025-12-16 09:50:00-05:00,51
FITB/UMBF,Financials,LONG,-2.0599469675879263,-0.3309631300533681,12,PROFIT_EXIT,8.135000000000062,2025-12-16 09:55:00-05:00,51
SWK/TTC,Industrials,LONG,-2.0694670176371135,-3.4359515711611213,12,HARD_STOP,-53.42500000000011,2025-12-16 09:55:00-05:00,51
RRX/SWK,Industrials,SHORT,2.6674333009711932,3.5378371142225973,3,HARD_STOP,-9.82499999999989,2025-12-16 09:55:00-05:00,51
AGCO/TKR,Industrials,LONG,-2.0653239889461736,-0.45989742554998564,5,PROFIT_EXIT,21.140000000000157,2025-12-16 09:55:00-05:00,51
BC/FND,Consumer Discretionary,LONG,-2.012357567704878,3.849467114684931,8,HARD_STOP,108.70000000000014,2025-12-16 09:55:00-05:00,51
EME/PCAR,Industrials,SHORT,2.3150539961399503,0.41139939273380965,3,PROFIT_EXIT,37.28559999999948,2025-12-16 10:15:00-05:00,51
HLT/MTN,Consumer Discretionary,SHORT,2.195164687550774,0.06894562786464727,2,PROFIT_EXIT,68.97499999999997,2025-12-16 10:15:00-05:00,51
AWK/CNP,Utilities,LONG,-2.0331574093416998,-0.4894209827316134,6,PROFIT_EXIT,2.0100000000011278,2025-12-16 10:15:00-05:00,51
MLM/VMC,Materials,SHORT,2.636946943435388,3.5750700014354764,5,HARD_STOP,-8.940000000000737,2025-12-16 10:20:00-05:00,51
FE/LNT,Utilities,LONG,-2.595434274825939,-0.0679504367320713,4,PROFIT_EXIT,20.75999999999908,2025-12-16 10:20:00-05:00,51
FLG/VLY,Financials,SHORT,2.084172833041636,-0.16811850720141347,15,PROFIT_EXIT,33.61000000000037,2025-12-16 10:30:00-05:00,51
DTM/TRGP,Energy,SHORT,2.741484499578707,0.48656896222764556,10,PROFIT_EXIT,-5.029999999999703,2025-12-16 10:45:00-05:00,51
