pair,signal,z_score,hedge_ratio,sector,entry_time
FOX/FOXA,0,-0.23103451156964921,0.8978,Communication Services,
MLM/VMC,0,-0.7946987726246987,3.6296,Materials,
EVR/SF,0,-0.6413409856472679,4.1307,Financials,
FITB/UMBF,0,0.8623085538004854,0.3796,Financials,
AVT/LSCC,0,-0.48923044319676806,0.1754,Information Technology,
KEY/USB,0,0.36754306850725915,0.4635,Financials,
EME/PCAR,0,-1.2801054503794254,6.5839,Industrials,
BAX/LNTH,0,1.1643243907117127,0.4125,Health Care,
APPF/DBX,0,0.6070573819385635,5.6447,Information Technology,
FLG/VLY,0,1.1688418649138597,1.2949,Financials,
DHI/PHM,0,0.35212169383968256,0.8622,Consumer Discretionary,
SWK/TTC,0,0.7334478327829045,0.6788,Industrials,
RRX/SWK,0,-0.899295632685916,3.692,Industrials,
AM/EQT,-1,2.236433027579999,0.4657,Energy,2026-02-22 18:16:43
AGCO/TKR,0,-0.5699089372933566,1.5092,Industrials,
DTM/TRGP,0,1.033331369697904,0.304,Energy,
HLT/MTN,0,0.5553769866036775,1.9405,Consumer Discretionary,
AVT/ENTG,0,0.5092319143997922,0.1369,Information Technology,
AVT/SYNA,0,0.22649763641783893,0.2517,Information Technology,
AWK/CNP,-1,0.6043223001248986,6.2768,Utilities,reconciled
EVRG/PPL,0,-1.6053257520536521,1.6335,Utilities,
FE/LNT,0,1.636474707192261,0.7642,Utilities,
CMS/PPL,0,0.40682630578135004,1.4072,Utilities,
BC/FND,0,0.5347117534616992,1.4679,Consumer Discretionary,
DTM/RRC,0,1.0124766137685055,0.8772,Energy,
