action,long,short,pair,hedge_ratio,z_score,timestamp,sector,shares_a,shares_b,price_a,price_b
ENTER_SHORT_SPREAD,TKR,AGCO,AGCO/TKR,1.5092,2.364245018464033,2026-02-17 10:45:33,Industrials,3,4,140.49,107.84
ENTER_SHORT_SPREAD,TKR,AGCO,AGCO/TKR,1.5092,2.364245018464033,2026-02-17 11:25:17,Industrials,3,4,140.49,107.84
ENTER_SHORT_SPREAD,ENTG,AVT,AVT/ENTG,0.1369,2.474873734153324,2026-02-17 12:05:24,Information Technology,7,3,65.8,130.0
ENTER_SHORT_SPREAD,VMC,MLM,MLM/VMC,3.6296,3.8073267120073577,2026-02-17 12:32:53,Materials,7,16,672.94,304.7
ENTER_LONG_SPREAD,KEY,USB,KEY/USB,0.4635,-3.5448366135987457,2026-02-17 12:32:53,Financials,230,86,21.69,58.0
ENTER_LONG_SPREAD,DHI,PHM,DHI/PHM,0.8622,-2.155082026703363,2026-02-17 12:32:53,Consumer Discretionary,29,34,166.75,143.0
ENTER_SHORT_SPREAD,FOXA,FOX,FOX/FOXA,0.8978,2.896284357145622,2026-02-17 13:42:56,Communication Services,96,88,51.7,56.6019
ENTER_SHORT_SPREAD,UMBF,FITB,FITB/UMBF,0.3796,2.927713619433834,2026-02-17 13:42:56,Financials,94,38,53.0,128.77
ENTER_SHORT_SPREAD,VLY,FLG,FLG/VLY,1.2949,2.337700441461083,2026-02-17 13:42:56,Financials,354,371,14.09,13.4621
ENTER_LONG_SPREAD,HLT,MTN,HLT/MTN,1.9405,-2.7285963598960925,2026-02-17 13:42:56,Consumer Discretionary,15,37,313.52,134.32
ENTER_LONG_SPREAD,BAX,LNTH,BAX/LNTH,0.4125,-2.258123701937195,2026-02-17 13:57:01,Health Care,251,71,19.9,70.0
ENTER_LONG_SPREAD,DTM,RRC,DTM/RRC,0.8772,-5.3400998742224015,2026-02-17 13:57:01,Energy,37,131,133.21,37.94
ENTER_SHORT_SPREAD,FOXA,FOX,FOX/FOXA,0.8978,2.1788422555545686,2026-02-17 14:02:14,Communication Services,96,88,51.7,56.6019
ENTER_SHORT_SPREAD,UMBF,FITB,FITB/UMBF,0.3796,2.1946905628508624,2026-02-17 14:02:14,Financials,94,38,53.0,128.77
ENTER_LONG_SPREAD,BAX,LNTH,BAX/LNTH,0.4125,-2.17043321089409,2026-02-17 14:02:14,Health Care,251,71,19.9,70.0
ENTER_LONG_SPREAD,HLT,MTN,HLT/MTN,1.9405,-2.0929173491333026,2026-02-17 14:02:14,Consumer Discretionary,15,37,313.52,134.32
ENTER_LONG_SPREAD,DTM,RRC,DTM/RRC,0.8772,-4.322422160471493,2026-02-17 14:02:14,Energy,37,131,133.21,37.94
EXIT,LONG_SPREAD,-4.322422160471493,-4.322422160471493,1,HARD_STOP,DTM/RRC,0.8772,-4.322422160471493,2026-02-17 14:03:17,Energy,37,131,133.21,37.94
ENTER_LONG_SPREAD,DTM,RRC,DTM/RRC,0.8772,-4.322422160471493,2026-02-17 14:04:19,Energy,37,131,133.21,37.94
EXIT,LONG_SPREAD,-4.322422160471493,-4.322422160471493,1,HARD_STOP,DTM/RRC,0.8772,-4.322422160471493,2026-02-17 14:05:21,Energy,37,131,133.21,37.94
ENTER_LONG_SPREAD,DTM,RRC,DTM/RRC,0.8772,-3.7103458958251094,2026-02-17 14:06:22,Energy,37,131,133.21,37.94
EXIT,LONG_SPREAD,-3.7103458958251094,-3.7103458958251094,1,HARD_STOP,DTM/RRC,0.8772,-3.7103458958251094,2026-02-17 14:07:24,Energy,37,131,133.21,37.94
ENTER_LONG_SPREAD,DTM,RRC,DTM/RRC,0.8772,-3.7103458958251094,2026-02-17 14:08:26,Energy,37,131,133.21,37.94
EXIT,LONG_SPREAD,-3.7103458958251094,-3.7103458958251094,1,HARD_STOP,DTM/RRC,0.8772,-3.7103458958251094,2026-02-17 14:09:27,Energy,37,131,133.21,37.94
ENTER_LONG_SPREAD,DTM,RRC,DTM/RRC,0.8772,-3.7103458958251094,2026-02-17 14:10:29,Energy,37,131,133.21,37.94
ENTER_LONG_SPREAD,AWK,CNP,AWK/CNP,6.2768,-2.2409653700491723,2026-02-17 14:11:30,Utilities,37,117,133.028,42.52
EXIT,LONG_SPREAD,-3.7103458958251094,-3.288870120066461,1,HARD_STOP,DTM/RRC,0.8772,-3.288870120066461,2026-02-17 14:11:30,Energy,37,131,133.21,37.94
ENTER_LONG_SPREAD,DTM,RRC,DTM/RRC,0.8772,-3.288870120066461,2026-02-17 14:12:32,Energy,37,131,133.21,37.94
EXIT,LONG_SPREAD,0.0,-0.32330238408864226,1,PROFIT_EXIT,KEY/USB,0.4635,-0.32330238408864226,2026-02-17 14:13:20,Financials,229,86,21.74,57.95
EXIT,LONG_SPREAD,0.0,-3.288870120066461,1,HARD_STOP,DTM/RRC,0.8772,-3.288870120066461,2026-02-17 14:13:20,Energy,37,131,133.21,37.94
ENTER_LONG_SPREAD,DTM,RRC,DTM/RRC,0.8772,-3.288870120066461,2026-02-17 14:14:21,Energy,37,131,133.21,37.94
EXIT,LONG_SPREAD,-3.288870120066461,-3.288870120066461,1,HARD_STOP,DTM/RRC,0.8772,-3.288870120066461,2026-02-17 14:15:23,Energy,37,131,133.21,37.94
ENTER_SHORT_SPREAD,EQT,AM,AM/EQT,0.4657,2.1317303787341135,2026-02-17 14:16:24,Energy,233,86,21.4115,57.67
ENTER_LONG_SPREAD,EVRG,PPL,EVRG/PPL,1.6335,-7.616867247541293,2026-02-17 14:16:24,Utilities,60,131,82.69,37.92
ENTER_LONG_SPREAD,CMS,PPL,CMS/PPL,1.4072,-2.056929538187253,2026-02-17 14:16:24,Utilities,65,131,76.41,37.92
ENTER_LONG_SPREAD,DTM,RRC,DTM/RRC,0.8772,-2.974894956128703,2026-02-17 14:16:24,Energy,37,131,133.21,37.94
EXIT,LONG_SPREAD,-7.616867247541293,-7.616867247541293,1,HARD_STOP,EVRG/PPL,1.6335,-7.616867247541293,2026-02-17 14:17:26,Utilities,60,131,82.69,37.92
ENTER_LONG_SPREAD,EVRG,PPL,EVRG/PPL,1.6335,-7.616867247541293,2026-02-17 14:18:27,Utilities,60,131,82.69,37.92
EXIT,LONG_SPREAD,-7.616867247541293,-7.616867247541293,1,HARD_STOP,EVRG/PPL,1.6335,-7.616867247541293,2026-02-17 14:19:29,Utilities,60,131,82.69,37.92
ENTER_LONG_SPREAD,EVRG,PPL,EVRG/PPL,1.6335,-7.616867247541293,2026-02-17 14:19:47,Utilities,60,131,82.69,37.92
ENTER_LONG_SPREAD,CMS,PPL,CMS/PPL,1.4072,-2.056929538187253,2026-02-17 14:19:47,Utilities,65,131,76.41,37.92
EXIT,LONG_SPREAD,-7.616867247541293,-7.616867247541293,1,HARD_STOP,EVRG/PPL,1.6335,-7.616867247541293,2026-02-17 14:20:49,Utilities,60,131,82.69,37.92
EXIT,SHORT_SPREAD,0.0,0.11581520043748524,3,PROFIT_EXIT,AM/EQT,0.4657,0.11581520043748524,2026-02-17 14:21:51,Energy,233,85,21.4115,58.45
ENTER_LONG_SPREAD,EVRG,PPL,EVRG/PPL,1.6335,-3.9989796940598845,2026-02-17 14:31:06,Utilities,60,131,82.69,37.95
EXIT,LONG_SPREAD,-3.9989796940598845,-3.9989796940598845,1,HARD_STOP,EVRG/PPL,1.6335,-3.9989796940598845,2026-02-17 14:32:07,Utilities,60,131,82.69,37.95
ENTER_LONG_SPREAD,EVRG,PPL,EVRG/PPL,1.6335,-3.9989796940598845,2026-02-17 14:33:45,Utilities,60,131,82.69,37.95
EXIT,LONG_SPREAD,-3.9989796940598845,-3.9989796940598845,1,HARD_STOP,EVRG/PPL,1.6335,-3.9989796940598845,2026-02-17 14:34:46,Utilities,60,131,82.69,37.95
EXIT,SHORT_SPREAD,0.0,-0.427482360468202,1,PROFIT_EXIT,AGCO/TKR,1.5092,-0.427482360468202,2026-02-17 14:36:06,Industrials,36,46,138.0,107.24
EXIT,LONG_SPREAD,0.0,-6.686339514460784,1,HARD_STOP,AWK/CNP,6.2768,-6.686339514460784,2026-02-17 14:36:06,Utilities,37,116,133.028,42.8
ENTER_LONG_SPREAD,EVRG,PPL,EVRG/PPL,1.6335,-3.402123318326719,2026-02-17 14:36:06,Utilities,60,131,82.69,37.94
EXIT,LONG_SPREAD,-3.402123318326719,-3.402123318326719,1,HARD_STOP,EVRG/PPL,1.6335,-3.402123318326719,2026-02-17 14:37:07,Utilities,60,131,82.69,37.94
EXIT,SHORT_SPREAD,0.0,4.014673362638661,6,HARD_STOP,FITB/UMBF,0.3796,4.014673362638661,2026-02-17 14:41:14,Financials,93,38,53.2,128.77
ENTER_LONG_SPREAD,FE,LNT,FE/LNT,0.7642,-3.2134847924903656,2026-02-17 14:41:14,Utilities,99,69,50.45,72.0
ENTER_LONG_SPREAD,AVT,LSCC,AVT/LSCC,0.1754,-2.1234147593225727,2026-02-18 20:12:54,Information Technology,76,51,64.97,96.62
